Date,Open,High,Low,Close,Adj Close,Volume
1993-01-22,2.125000,2.151785,2.107142,2.125000,2.007112,36736000
1993-01-25,2.142857,2.160714,2.116071,2.142857,2.023979,50568000
1993-01-26,2.169642,2.214285,2.160714,2.169642,2.049278,71405600
1993-01-27,2.151785,2.205357,2.098214,2.151785,2.032411,56655200
1993-01-28,2.138399,2.151785,2.116071,2.138399,2.019769,46009600
1993-01-29,2.125000,2.187500,2.107142,2.125000,2.007112,66525200
1993-02-01,2.187500,2.187500,2.116071,2.187500,2.066145,60138400
1993-02-02,2.151785,2.196428,2.151785,2.151785,2.032411,45584000
1993-02-03,2.142857,2.178571,2.089285,2.142857,2.023979,66046400
1993-02-04,2.125000,2.151785,2.107142,2.125000,2.007112,52038000
1993-02-05,2.044642,2.125000,2.008928,2.044642,1.931212,91904400
1993-02-08,2.017857,2.053571,1.982142,2.017857,1.905913,70268800
1993-02-09,2.031256,2.049113,2.017857,2.031256,1.918569,59665200
1993-02-10,1.991071,2.044642,1.964285,1.991071,1.880613,67071200
1993-02-11,1.968756,2.008928,1.964285,1.968756,1.859536,42067200
1993-02-12,1.924113,1.982142,1.919642,1.924113,1.818359,68849200
1993-02-16,1.892857,1.910714,1.794642,1.892857,1.788821,101934000
1993-02-17,1.924113,1.928571,1.857142,1.924113,1.818359,62395200
1993-02-18,1.964285,1.973214,1.910714,1.964285,1.856323,70030800
1993-02-19,1.964285,1.982142,1.955357,1.964285,1.856323,44450000
1993-02-22,1.968756,2.000000,1.955357,1.968756,1.860548,24690400
1993-02-23,1.937500,1.973214,1.928571,1.937500,1.831010,48518400
1993-02-24,1.915185,1.924113,1.861613,1.915185,1.809921,71668800
1993-02-25,1.955357,1.955357,1.901785,1.955357,1.847886,41806800
1993-02-26,1.892857,1.937500,1.866071,1.892857,1.788821,73721200
1993-03-01,1.901785,1.910714,1.883928,1.901785,1.797258,29825600
1993-03-02,1.937500,1.946428,1.892857,1.937500,1.831010,36923600
1993-03-03,1.950899,1.964285,1.901785,1.950899,1.843673,50674400
1993-03-04,1.964285,1.973214,1.910714,1.964285,1.856323,47084800
1993-03-05,1.964285,1.991071,1.955357,1.964285,1.856323,27904800
1993-03-08,2.017857,2.026785,1.964285,2.017857,1.906950,44251200
1993-03-09,2.026785,2.053571,2.017857,2.026785,1.915388,38707200
1993-03-10,2.026785,2.044642,2.000000,2.026785,1.915388,33124000
1993-03-11,2.031256,2.044642,2.008928,2.031256,1.919614,36153600
1993-03-12,2.008928,2.026785,1.982142,2.008928,1.898512,31673600
1993-03-15,2.035714,2.044642,1.977685,2.035714,1.923826,34008800
1993-03-16,2.017857,2.062500,2.017857,2.017857,1.906950,25264400
1993-03-17,1.968756,2.035714,1.964285,1.968756,1.860548,44055200
1993-03-18,1.946428,1.986613,1.946428,1.946428,1.839447,26546800
